	trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent	Weights
0	46487	9923	3	1	3	2	6	3	0.0	2	2013	11	19	2	15.33333333	13	1	0	0	2150	0.568888889	0.165	0.36361111100000004	0.0	0.07111111099999999	0.0	0	0.152777778	0.0	0.4	0.0	0.318182	1.0701702950051495
1	76528	16553	2	0	3	5	6	4	1.0	3	2015	1	7	3	18.0	26	1	1	0	12131	3.0038888889999997	0.9513888890000001	0.201111111	0.41666666700000005	0.05	0.1	1	0.8525	4.1	2.22	0.0	0.588465	1.0701702950051495
2	32857	7078	0	2	4	3	2	1	1.0	2	2013	6	11	2	14.5	37	1	1	2	2765	0.674722222	0.212222222	0.18444444399999999	0.0	0.3375	0.0	0	0.161666667	1.5	0.43	0.0	0.32474200000000003	1.0701702950051495
3	69198	14953	2	2	4	3	2	5	0.0	3	2014	10	3	5	16.26666667	5	1	0	2	2583	0.7875	0.325555556	0.141666667	0.0	0.223333333	0.15	1	0.17722222199999998	0.0	0.53	0.0	0.28683400000000003	1.0701702950051495
4	31416	6767	2	0	1	2	1	5	0.0	2	2013	5	24	5	8.25	7	1	0	1	1057	0.233611111	0.096666667	0.185555556	0.0	0.0325	0.0	0	0.085	0.0	0.22	0.0	0.36601300000000003	1.0701702950051495
5	28150	6099	1	1	4	3	1	1	1.0	2	2013	4	13	6	16.5	29	1	1	2	23467	5.516944444	1.7383333330000001	0.150277778	1.033333333	0.096111111	0.26666666699999997	2	1.297222222	7.6	4.13	0.0	0.525054	1.0701702950051495
6	41683	8911	0	3	4	5	1	1	1.0	2	2013	9	20	5	14.5	31	1	1	1	1988	0.523055556	0.179722222	0.228611111	0.0	0.166388889	0.0	0	0.151388889	1.5	0.39	0.0	0.484404	1.0701702950051495
7	76507	16549	3	0	1	2	1	5	0.0	3	2015	1	7	3	8.333333332999999	6	1	0	2	486	0.315	0.11638888900000001	0.1325	0.0	0.083333333	0.0	0	0.07111111099999999	0.0	0.22	0.0	0.128906	1.0701702950051495
8	40678	8698	2	1	3	1	2	1	1.0	2	2013	9	8	7	15.5	19	1	0	1	13554	3.307222222	1.1411111109999998	0.233611111	0.45	0.169722222	0.11666666699999999	1	1.055	4.3	2.19	0.0	0.647183	1.0701702950051495
9	65672	14149	3	1	4	3	1	5	0.0	3	2014	8	18	1	13.16666667	7	1	0	2	1470	0.350277778	0.10194444400000001	0.17222222199999998	0.0	0.045833333	0.0	0	0.080555556	0.0	0.24	0.0	0.141379	1.0701702950051495
10	75338	16291	2	0	4	3	1	3	0.0	3	2014	12	14	7	9.0	11	1	0	1	1802	0.428333333	0.136111111	0.211666667	0.0	0.054444444	0.0	0	0.10083333300000001	0.0	0.29	0.0	0.04958680000000001	1.0701702950051495
11	65785	14176	0	1	3	5	6	1	1.0	3	2014	8	19	2	19.5	30	1	1	0	10409	2.403333333	0.7769444440000001	0.119444444	0.333333333	0.0	0.0	0	0.610833333	2.6	1.61	0.0	0.6261939999999999	1.0701702950051495
12	62392	13396	0	0	4	3	2	1	1.0	3	2014	7	5	6	16.0	36	1	1	1	4021	1.005	0.31	0.287777778	0.0	0.27944444399999996	0.0	0	0.22	1.5	0.6	0.0	0.205808	1.0701702950051495
13	31447	6771	2	5	4	3	1	1	1.0	2	2013	5	25	6	20.66666667	27	1	1	1	569	0.163333333	0.050277777999999995	0.08611111099999999	0.0	0.035555556	0.0	0	0.050277777999999995	1.5	0.13	0.0	0.07734810000000002	1.0701702950051495
14	37390	7984	1	1	1	3	1	4	1.0	2	2013	7	29	1	16.0	21	1	1	1	1410	0.380833333	0.17	0.108055556	0.0	0.088888889	0.0	0	0.10305555599999999	1.5	0.25	0.0	0.280323	1.0701702950051495
15	5341	1091	3	1	1	5	1	3	0.0	1	2012	6	7	4	11.5	11	1	0	1	236	0.062222222	0.037777778	0.036944444	0.0	0.019166667	0.0	0	0.026944443999999998	0.0	0.06	0.0	0.103093	1.0701702950051495
16	22336	4786	2	0	1	3	1	5	0.0	1	2013	1	6	7	15.5	6	1	0	1	1328	0.350277778	0.11333333300000001	0.15444444400000001	0.0	0.066666667	0.0	0	0.14361111099999999	0.0	0.42	0.0	0.35783400000000004	1.0701702950051495
